"","Secondary.Antibody","Concentration","raised_in","anti","fluorophore"
"1","Goat anti-Rabbit AF488","1/400","goat","rabbit","A488"
"2","Goat anti-Rabbit Cy3","1/250","goat","rabbit","Cy3"
"3","Goat anti-Rabbit AF647","1/400","goat","rabbit","A647"
"4","Goat anti-Chick AF488","1/400","goat","chick","A488"
"5","Goat anti-Chick Cy3","1/250","goat","chick","Cy3"
"6","Goat anti-Chick AF647","1/400","goat","chick","A647"
"7","Goat anti-Mouse IgG1 AF488","1/400","goat","mouse","A488"
"8","Goat anti-Mouse IgG1 Cy3","1/250","goat","mouse","Cy3"
"9","Goat anti-Mouse IgG1 AF647","1/400","goat","mouse","A647"
"10","Goat anti-Mouse IgG2a AF488","1/400","goat","mouse","A488"
"11","Goat anti-Mouse IgG2a Cy3","1/250","goat","mouse","Cy3"
"12","Goat anti-Mouse IgG2a AF647","1/400","goat","mouse","A647"
"13","Goat anti-Mouse IgG2b AF488","1/400","goat","mouse","A488"
"14","Goat anti-Mouse IgG2b Cy3","1/250","goat","mouse","Cy3"
"15","Goat anti-Mouse IgG2b AF647","1/400","goat","mouse","A647"
"16","Donkey anti-Rabbit AF488","1/400","donkey","rabbit","A488"
"17","Donkey anti-Rabbit Cy3","1/250","donkey","rabbit","Cy3"
"18","Donkey anti-Rabbit AF647","1/400","donkey","rabbit","A647"
"19","Donkey anti-Goat AF488","1/400","donkey","goat","A488"
"20","Donkey anti-Goat Cy3","1/250","donkey","goat","Cy3"
"21","Donkey anti-Goat AF647","1/400","donkey","goat","A647"
"22","Donkey anti-Chick AF488","1/400","donkey","chick","A488"
"23","Donkey anti-Chick Cy3","1/250","donkey","chick","Cy3"
"24","Donkey anti-Chick AF647","1/400","donkey","chick","A647"
